"","Immune.magenta","Immune.blue","Immune.black","Immune.red","Immune.greenyellow","Immune.pink","Immune.purple","Immune.turquoise","Immune.brown","Immune.yellow"
"SAM000201_tp4",0.0513852402329737,-0.0626506916542157,-0.0550791515670424,-0.0848814627776918,0.061888873775923,-0.064629329568876,-0.00399888282689318,0.0208833101787342,0.00808981889001881,-0.0355155614828897
"SAM000234_tp1",0.0124950852017368,-0.0109410051578051,0.00639264622410094,-0.00185858478130321,-0.040183524343685,-0.0116266545629967,-0.00774150638360866,0.0125530690710721,0.0434313132607653,0.0285901437427432
"SAM000249_tp1",-0.0192704734445014,-0.000174253227103838,-0.0095723894869043,0.0913133363826472,0.0443900861207475,-0.0538373091353902,-0.0336026839712355,-0.0507440500301612,-0.0124747625752586,-0.0461436040375927
"SAM000240_tp1",-0.0410689072633968,0.040230173153889,-0.00952171496024885,0.0467443042776228,0.0489667946998574,-0.00277400514061494,0.0685917037085895,-0.00179502927116244,0.0965927513518669,0.0176563484471111
"SAM000240_tp2",-0.04244660019553,0.0215759043118617,-0.0161872266092296,0.0489938181131088,0.0418327833124425,-0.000133438909119219,0.0678340386019748,0.0029843402826693,0.0997761527289894,0.0313764016345259
"SAM000240_tp3",-0.0434676884409235,0.0904031206234838,-0.00202133105511508,0.0478182914059666,0.0478744031329131,-0.00101929311740782,0.0469790644513578,0.0186590745823142,0.114659400716817,0.032110127393299
"SAM000240_tp4",-0.0361301031550358,0.0364504830492332,-0.00172249244653617,0.0497576100579098,0.0376085847979972,-0.0192520197753696,0.0583756989592383,0.00876999207467903,0.0680874444385118,0.0102419769475677
"SAM000257_tp1",-0.0208603847610911,0.0317813934500725,0.00952341082483851,0.00564744161444947,0.0219088322745717,0.00862777443741458,-0.00149915815936111,-0.0470617096381669,0.000151649643204899,-0.00906553351421054
"SAM000243_tp1",0.0283441450637911,0.00747704415990485,-0.0358734021749606,-0.0107896644026182,0.019167535791746,-0.0628237714848251,-0.0646554445924514,-0.087390065610253,-0.0368502037435102,-0.0986878462054547
"SAM000243_tp2",-0.0132875819865059,0.0966886690330876,0.0281672783161789,0.0415890341666125,0.0384717759694737,-0.0236451205476607,-0.0419705827419552,-0.0613159272582248,0.0693871988749297,0.00317716236045817
"SAM000233_tp1",-0.0274320999374938,0.031363172144678,0.00638817989606565,-0.0168669982306387,0.0567848055600172,0.0601555008346507,0.0367477254808287,-0.025893912140288,0.0223678451651261,-0.00540298580551792
"SAM000233_tp2",-0.0337141320585665,0.0388375478573955,0.0338680215589777,-0.0260250447555665,0.0472840610042321,0.0450660530187718,0.0272571458821601,-0.0290321134991479,0.0260187011887196,-0.0264918059758305
"SAM000233_tp3",-0.0325816204612666,0.0357245250994688,-0.00483073391673204,-0.0121889822512084,0.0429609937229471,0.0764505488792292,0.0488922742806035,-0.0193295261663394,0.0026219548574434,-0.0334038377416065
"SAM000259_tp1",-0.0489802259600734,0.0933765893862228,0.0237134569994701,0.0907857028448351,0.0173026156324327,-0.0382208147689546,-0.00575764455279315,-0.00635652680249313,0.029429112539446,-0.0341803237605544
"SAM000236_tp1",0.0568845090959304,-0.0297853647826807,-0.0323188494349305,-0.0345232176927487,0.0613609502779396,-0.0130067820938004,-0.0418827602250046,-0.0590566351112844,-0.0686077929137684,-0.0720883878063795
"SAM000236_tp2",0.0445591482440731,0.000952153621232212,-0.0322820803108057,-0.0192126966768702,0.0493784336500418,-0.0139491136470005,-0.0436633868821555,-0.0529613024569768,-0.0466617632666962,-0.0328553646691624
"SAM000206_tp1",0.0131720357040155,0.0127718907455209,-0.0324509970319616,-0.00793427093616735,0.0142667958601925,0.0177688862610215,0.0292013247327557,-0.0212515692326168,0.000459990434058465,0.100183560628424
"SAM000248_tp1",-0.0020307516730835,0.0101492846793853,-0.00508864016179903,-0.0244696788585085,0.0413012370054337,-7.18598017596663e-05,0.0046884161376721,-0.00968623446725823,0.00172343278220307,-0.00416686034795056
"SAM000248_tp2",0.0105336697087435,-0.0294558120370587,0.0214276642956083,-0.020285749065086,0.0285351685744487,-0.0121229816915756,-0.00625097355559934,-0.01017475838949,-0.0126996700269028,-0.0279924860894289
"SAM000248_tp3",-0.00701823030355426,-0.00899443057947612,0.0456903087296416,-0.0236610162767288,0.0305544994861351,-0.0149581162751125,-0.0186172594002486,-0.0159964579197884,-0.0122695241340786,-0.0351703800822174
"SAM000213_tp1",-0.00228679451810371,0.0101078458020267,-0.00680965193046772,-0.0383200644065956,0.0648679241109703,0.0855894338920179,0.0938984784830819,0.0292849368747739,0.0730416149084812,0.0267663616577954
"SAM000213_tp2",-0.032242572887431,0.00214140664530729,-0.0124034928876297,-0.0301621363157424,0.0685674555757459,0.069069939842267,0.112807660376307,0.0553935233297931,0.091887180054193,0.0291210356214636
"SAM000207_tp1",0.0311529356892646,0.0676885163706868,0.00319071666700616,0.0663041287229388,-0.00149844729469707,0.0248986206198507,-0.0112995480002315,-0.0531623679223285,0.0194261639135007,0.0521228119188865
"SAM000241_tp1",-0.0299593332292468,-0.0260849186498371,-0.0186329619984261,0.0535014415131348,0.0510142778362675,-0.0428759080559306,0.112170898374953,0.122430185669877,0.0101313476773836,-0.00380162284798009
"SAM000241_tp2",-0.0256620558817898,-0.0112310129873803,-0.0125185465670066,0.0481179596706117,0.0382166426415161,-0.0540854743916071,0.0618347716119201,0.128195021574881,-0.0127465189558336,-0.0286964903012855
"SAM000247_tp1",-0.0171078851063465,0.0143870325668951,-0.00654557553545059,0.0734397049446862,0.0379006496170061,-0.0317101169140785,0.0252119500977087,0.0456147941633786,0.0234596895680542,-0.0349866582710749
"SAM000247_tp2",-0.0335053366900627,0.0164799256301117,0.0350527067526671,0.0902142272475961,0.0471292691931028,-0.0303934490372543,0.0182417611814811,0.0601157805955585,0.0369436519368233,-0.0599063470571796
"SAM000247_tp3",-0.00854686825363679,0.02127176264822,0.0105596178826343,0.0718717304851969,0.0468288239059439,-0.0406228999701819,0.0257393680121521,0.0496767064256509,0.0216363179152635,-0.0642258291404821
"SAM000245_tp1",0.0351579725595001,-0.00376837274891641,-0.0369612711498968,-0.0683892725902732,-0.00201669220642472,-0.0455040943202192,-0.00376217634734741,-0.0118508903849684,-0.0692444803273351,-0.0585390811256322
"SAM000245_tp2",0.0238126443997218,-0.00937781659470813,-0.0416324997858308,-0.0589087051590585,-0.0184004759384574,-0.0447260196069458,0.00835307187424843,0.00351829186066759,-0.0752944293473215,-0.0588294581227966
"SAM000245_tp3",0.00555992793552132,0.00815449377027851,-0.0072668815180338,-0.0610193385865416,-0.0332833451226275,-0.0353423030508019,0.00607305801615139,0.0150149026280037,-0.0692116766563804,-0.0471992290440445
"SAM000250_tp1",0.0172198494869151,-0.0445613701426699,-0.0603928550056951,-0.0545074058669064,0.0325268751611005,0.0126796420445972,0.0650740854521352,-0.0403833257797617,0.0113136240485713,-0.0387595921204754
"SAM000250_tp2",0.010799808608511,-0.0350969021315477,-0.0551827125570976,-0.0281854130607899,0.0400380812857227,0.0510503551048971,0.107553838647206,-0.0127889212180898,0.00546615276071875,-0.025142050332177
"SAM000250_tp3",0.0542416483090812,-0.0583003156676895,-0.0648161332276432,-0.0539260843270573,0.0511467359269659,0.033393939098443,0.020071526959313,-0.0501300339618839,-0.0603011192132127,-0.0855310734172161
"SAM000321_tp1",-0.0308150485777469,0.0805544885415212,0.0688741751478372,0.0492795415557233,0.0495319303652449,-0.0323461423029053,0.0568161769521598,-0.00430826341110667,0.0206533326347784,0.0110582056253833
"SAM000321_tp2",-0.0333778272286241,0.118087996326657,0.0314176027447475,0.040782254674214,0.0217116772858116,-0.0255117718048829,0.0573068150883437,-0.00648758650363728,0.0374912837068746,0.0224576376545342
"SAM000237_tp1",0.00980104212261618,-0.0134082234638204,0.147240155943574,0.0478918506273591,0.0018738004855106,0.0794657744999758,0.0319310157581366,0.112807200592425,-0.0331727383207785,0.122411248088713
"SAM000246_tp1",-0.0494931289505966,-0.0400620929776399,0.0159328196728887,-0.00414112249858674,0.00134482193621303,0.00685775172849927,0.0375517108832603,0.021012316772505,0.0293276565868282,-0.0222936083447538
"SAM000246_tp2",-0.0162457627443405,-0.0358930218044116,0.0799507584589797,0.0019109914419375,0.0291867433740912,-0.00257859543346376,0.0664952884635798,0.0303713620219226,0.0359787194517011,-0.0232110507731702
"SAM000256_tp1",0.0497136838805199,-0.0669447966462114,-0.0234804780515727,-0.023838249222583,0.0183171867841329,-0.0244817693241247,-0.0404549950297764,-0.0526019759399902,-0.0297676975671674,-0.0211504614894802
"SAM000256_tp2",0.014260398317086,-0.0575870509004849,0.00416645473578627,-0.0137521997804809,-0.00665759574246271,-0.0373974962549368,-0.0432535360085023,-0.052969376841412,-0.0170548077545623,-0.00815747168424646
