"","Metabolome.magenta","Metabolome.red","Metabolome.yellow","Metabolome.green","Metabolome.black","Metabolome.blue","Metabolome.turquoise","Metabolome.brown","Metabolome.pink"
"SAM000291_tp1",-0.0223528914669713,0.041381370405398,0.0215412044985356,0.0497589181738321,0.0777675802379745,0.106102177429782,-0.02368395153718,-0.030684117040521,0.0459719185353742
"SAM000272_tp1",-0.00371385213395404,-0.0419057631356945,-0.00549034877486036,-0.00564314695125007,-0.028820411345291,0.025387152768751,0.134970787970725,0.0864466333156738,0.117717228852296
"SAM000288_tp1",0.0506946215383312,-0.00171892348389674,0.0192184933233416,0.0430157312811978,0.00466260680931061,0.0338027170749526,0.0548911951207284,0.0208691375748635,0.11180129034552
"SAM000265_tp1",-0.0155739401720047,-0.0358550542221222,-0.0437613236474826,-0.00730838394288081,0.00570149157469783,0.0196976941327615,-0.0353268201984963,0.0404564826656519,-0.0659833688134343
"SAM000284_tp1",-0.037662412283756,0.0474351879895851,0.161131423392714,0.00356799063240993,0.0287648328730964,0.0613144224536663,-0.0388938818860702,-0.0354681749134143,-0.00320928416986109
"SAM000263_tp1",0.0299169725068839,0.0373927601807285,0.122316084106572,0.0251041232881481,0.00161013199878769,-0.00259825601722585,0.00551674213574147,-0.0402797444149416,-0.0036250228288393
"SAM000286_tp1",-0.0166846220638484,-0.0384380774007837,0.00697635626651217,-0.0174842736212621,-0.019931342769913,-0.0177745936347833,0.0562048001189223,-0.0715748096735837,-0.00014050721673602
"SAM000281_tp1",-0.0224114808245862,-0.0233794171987946,-0.0190194417467486,0.0400666509177686,0.0361277444968524,0.105463558641089,0.0330274399687032,0.109831509676833,0.0108792524986047
"SAM000273_tp1",0.0625533911227541,-0.0353887007943524,-0.0382236515147965,-0.0131059158833154,-0.0143000094355631,-0.0272730452354106,0.0300648411904486,-0.0451186561326318,-0.0216636497973538
"SAM000287_tp1",0.0302242346604135,0.109015871288052,-0.0338359962110161,-0.0135406098412189,-0.0210863923752234,-0.0693560394863056,-0.0398243404953444,-0.100098170137169,-0.0253378986858889
"SAM000280_tp1",-0.0398629911775753,0.0168660809273312,0.0851633603385862,0.00196226168277224,0.0917915338279788,0.0672237125604446,0.091822135663378,-0.000520934889251267,-0.0925130375498607
"SAM000270_tp1",0.100520933077724,-0.0428577373331548,-0.0446154170622503,-0.0064433422942404,0.0156552997748262,-0.00646309169394281,-0.0476038204050953,0.00827529154867047,-0.0369541543836634
"SAM000275_tp1",0.00648135168474571,0.0693930697594329,0.104620861828807,-0.0142555150914955,-0.0279611792521204,0.00568825670324849,0.0255788725076862,-0.0536266504574112,0.000978698424053847
"SAM000279_tp1",-0.00644106051885584,-0.0670426067167925,-0.0215726663231709,-0.0084378277561203,0.00666147574885862,0.00916807269890788,0.0167620162751732,0.120049753580723,-0.000911679828855111
"SAM000380_tp1",-0.0271594090386507,0.0541978141524243,-0.0212656068221107,0.0145808117683103,0.0724011737394106,0.0113418841881438,-0.0133475566198793,0.0211619068081694,-0.0310943718775261
"SAM000395_tp1",-0.0271283988318249,0.0350471725878995,-0.0223306201731607,-0.0108827942353635,-0.059818871623012,-0.0245633639422655,-0.0414484201489573,-0.0337750508655771,0.00620927423129589
"SAM000370_tp1",0.045227950883543,0.0192121002935177,0.0509956951407946,-0.0297185890900425,-0.0503859109060981,-0.0394380144471788,-0.0434266715301064,-0.13762700618109,-0.048963103779174
"SAM000387_tp1",-0.04901773547748,-0.0594841162077287,-0.0297307205644203,-0.0139230263453026,0.00854767279730902,-0.0432118326829663,-0.0499585039005771,0.0461609065542942,-0.0175590468322471
