"","kingdom","phylum","class","order","family","genus","specie.1","Specie.mergedColors","Specie.brown","Specie.yellow","Specie.green","Specie.turquoise","Specie.black","Specie.blue","Specie.red","Specie.brown.p","Specie.yellow.p","Specie.green.p","Specie.turquoise.p","Specie.black.p","Specie.blue.p","Specie.red.p"
"GGB9342_SGB14306","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","g__GGB9342","s__GGB9342_SGB14306","yellow",0.00118548093065413,-0.00800614132234129,0.155972332950808,0.0509859963874212,0.00214077526954796,-0.057132619938076,-0.0677214631481398,0.979354857289383,0.861261975221401,0.000613239334443589,0.265411360729957,0.962727788058812,0.211972052854721,0.138877638720983
"GGB9695_SGB15211","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9695","s__GGB9695_SGB15211","yellow",-0.0137190071519002,-0.0102806105319072,0.0920995231533798,0.00396425898392209,0.0247510769153922,0.00881115868942517,-0.0253597033315531,0.764570215694633,0.822430349568451,0.0439346540448591,0.931040580126607,0.588941048196537,0.847474703417209,0.5798094184331
"GGB9501_SGB14898","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9501","s__GGB9501_SGB14898","yellow",-0.0302688801053419,-0.0161251102526482,0.12641257643298,-0.0027182141424806,0.0545821618590429,0.055196131862119,-0.0163928804043948,0.50868454242686,0.724826202276422,0.00559585782727412,0.952684729766295,0.233121377074191,0.227898688418658,0.720446316536532
"Monoglobus_pectinilyticus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Monoglobus","s__Monoglobus_pectinilyticus","yellow",-0.0706470098443851,-0.0166938784357031,0.125714387185579,0.169389984867711,0.0250498622872799,0.0977090004568744,0.00243467537553922,0.122570094004044,0.715533826428232,0.00586664553332756,0.000195668962501763,0.584449901081308,0.0325170114697134,0.957615317667247
"Ruminococcaceae_unclassified_SGB15234","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_unclassified_SGB15234","yellow",0.0139675491419205,-0.0176035379456049,0.152603661271826,0.0336213208261048,-0.034691967500359,-0.135380070577239,-0.12238191331092,0.7604340044781,0.700759515497662,0.000805744397785143,0.462873444814551,0.448741355315662,0.00298891997103598,0.00732825284048396
"Candidatus_Borkfalkia_ceftriaxoniphila","k__Bacteria","p__Firmicutes","c__Clostridia","o__Candidatus_Borkfalkiales","f__Candidatus_Borkfalkiaceae","g__Candidatus_Borkfalkia","s__Candidatus_Borkfalkia_ceftriaxoniphila","yellow",-0.00294626785516604,-0.02379452991874,0.108111649774421,-0.00221630397655745,-0.0387015829909477,-0.0710481179075622,-0.119926577729678,0.948720298018002,0.603424916349178,0.0179378774149484,0.961413791874937,0.398038764375262,0.120455593002257,0.00860522458664208
"GGB9667_SGB15164","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9667","s__GGB9667_SGB15164","yellow",-0.052231507822896,-0.0451941599871406,0.0702856365774209,-0.0436626356019135,0.064890838520592,0.0340676723651426,0.00226847627118154,0.253897165126221,0.323621772364078,0.124499781163353,0.34030565207034,0.156193819290846,0.456951930244305,0.960506195187917
"Barnesiella_intestinihominis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella","s__Barnesiella_intestinihominis","yellow",-0.0368176960852632,-0.0646928725348487,0.0208568842021215,-0.0519698673810235,-0.0470842607839743,-0.100968446410645,-0.118872413791541,0.421418981534387,0.157463370630104,0.648870350317594,0.256286686587906,0.303777045831475,0.0271275010588569,0.00921181439416846
"Limosilactobacillus_reuteri","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__Limosilactobacillus_reuteri","black",0.00684237826605085,0.00291490908227127,0.0851983830175669,0.0359264446945829,0.897129686077222,0.0211998216272874,-0.0175662893996838,0.881267013826815,0.949265358676397,0.0624376979203652,0.432754090127139,2.326474157467e-171,0.643493031318186,0.70136232569258
"Eisenbergiella_tayi","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Eisenbergiella","s__Eisenbergiella_tayi","black",-0.0184626763200367,0.0156121614553325,0.104415805394269,0.00230888934866935,0.878382336821146,0.113265324637982,-0.0234467183288866,0.686908490314706,0.733241453527271,0.0222816920910748,0.959803198528391,4.87176896131689e-155,0.0131219372385099,0.608730715437102
