"","KEGG.yellow","KEGG.black","KEGG.brown","KEGG.purple","KEGG.red","KEGG.turquoise","KEGG.magenta","KEGG.blue","KEGG.green"
"SAM000216_tp3",0.016655665769834,-0.0338288425103004,-0.0326440275716251,0.0558588147431523,0.0165302849610429,-0.00671041864670409,-0.0151736434717854,0.00644573451192575,0.00841527840092675
"SAM000217_tp1",-0.018812789733583,0.0321204251398218,0.0425164577749158,-0.0444231175316773,-0.0223080947821803,-0.0117574985646415,-0.0194456913151891,0.0131964961079382,-0.00883316634974286
"SAM000217_tp2",-0.0192365021664885,-0.00124239464723487,-0.000100556436688005,-0.0392181109273212,-0.00868794042037272,-0.00757634740660932,-0.0232712032556222,-0.016464335036617,-0.0129077379853553
"SAM000218_tp1",-0.0362965193913304,-0.00189745418297494,0.0275303866375779,0.0290939284021286,-0.0159776151234383,-0.0104804776458447,-0.0187155468893915,0.0275552894513679,-0.00488908603711933
"SAM000220_tp1",-0.0367011539908983,0.0208415015115482,-0.000924619324560401,-0.0434842807303038,0.010963712980614,-0.0116000285432637,-0.00180648113910813,-0.0265122985547948,-0.0144875976125236
"SAM000220_tp2",-0.00584834020988455,0.0674770853657218,0.0118642117431198,-0.0384596263278301,0.0540071667099316,-0.0126066029433365,0.0171404493297703,-0.0500666160560627,-0.0162257443469234
"SAM000220_tp3",-0.0114427757402204,-0.0149983131677915,-0.0109464786079484,-0.0358013416016427,-0.0203987038462443,-0.0100655628217191,0.0149182751077087,-0.00104945497897628,-0.0108020408368081
"SAM000221_tp1",-0.0295563443895103,0.0552918188160537,-0.00105614848923382,-0.043206574435763,-0.0276363349467357,-0.0139354199509623,-0.0211564522648871,-0.0714455118993352,-0.0145003374600625
"SAM000222_tp1",0.0508188928440305,0.0346356355124542,-0.0042746221647406,0.0217573980098636,-0.022267565787341,-0.0127828708337088,-0.0225535681997399,-0.0539618583961897,-0.0144844021407412
"SAM000222_tp2",0.0450096126767632,0.019907478064624,0.00621107323135678,0.059749815608139,0.0198839747480249,-0.0102818669766346,-0.0234215725501399,-0.0403812161214839,-0.013998750809907
"SAM000223_tp1",0.117002441143122,0.0200082079456259,-0.0445955366097138,-0.0459522223437808,0.00741332891869521,-0.0144512088738046,-0.0218885503041732,-0.065011822738227,-0.0117904082860864
"SAM000223_tp2",0.0789501092084466,0.0278291191373996,-0.021815054112448,-0.041955029236999,-0.0137631014558769,-0.0112244122978984,-0.0206381350877509,-0.0616934568982148,-0.0158434488888697
"SAM000224_tp1",0.0266824010992331,0.0221826952272603,-0.0283006727596268,0.0405030860793638,-0.0228377541459799,-0.0125818756841289,-0.0227306844301646,-0.049198190084472,-0.014526888448567
"SAM000225_tp1",-0.00119579394597444,0.178309572825445,0.16476974443463,0.0165513476312467,-0.0151059590690139,-0.00127635127805287,0.00787900523316348,-0.036400436428218,0.0023801398628841
"SAM000225_tp2",0.0241044784993219,-0.00233157926205815,-0.0177849911344987,0.0101730981946837,0.0263182621941558,0.00346210895037503,0.0899248466887511,-0.0292678494700817,0.00446890607208452
"SAM000225_tp3",0.00428700837398484,-0.0427124324695368,-0.0210258332849147,0.024597635858929,-0.00448156412156108,0.00342702696816079,0.211275716947621,0.043639036936648,0.0165870735160348
"SAM000226_tp1",0.0624133863009316,0.028410159298718,-0.0218956756774774,0.0414287510250118,-0.0251119333928652,-0.0135651950199208,-0.0234785658632018,-0.059706989529525,-0.010963039049879
