comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_control vs ME_CFS_like_control,kegg,kegg__K10709,57,21,32.212620286696904,21.859558658580777,19.367697494842147,14.77153565452505,10.353061628116127,0.2752476007572314,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K13789,57,21,976.4581427174537,1000.6902556461874,980.4544576782409,995.717344003977,-24.232112928733727,-0.15820098351501907,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K17234,57,21,53.644019759151256,45.994063387833826,45.369134720306704,38.2673077454215,7.64995637131743,0.2159718436239689,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K17320,57,21,593.234742872889,596.9478629013311,544.253517388004,643.9847042517624,-3.713120028442063,-0.014435458603859187,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K18930,57,21,688.397441950719,726.7518137437959,695.087019799436,697.150091685096,-38.35437179307689,-0.0986579050725826,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K19221,57,21,208.41783360693546,220.2191455608086,173.074056462784,214.209729721104,-11.801311953873153,-0.11814282426775022,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,species,species__Ruminococcus_bicirculans,57,21,0.008825347896817706,0.005299497602499934,0.0029166999688257002,0.0018782000788477,0.003525850294317772,0.3112800903608113,0.6526858223433464,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K10011,57,21,27.178938549769825,33.54415195816777,2.486619656492325,1.2946553452877796,-6.365213408397942,-0.05392297827826975,0.6543758681772789,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07400,57,21,10.359151664634789,17.029957763150975,0.87374790274733,1.427349615457529,-6.670806098516186,-0.1349070258024504,0.6550633518371733,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07004,57,21,29.085348474172726,21.684207586864712,5.867590869986035,5.315951484614705,7.401140887308014,0.20908594534481062,0.6554152697433129,1.0
canonical_control vs ME_CFS_like_control,immune_pct,immune_pct__% CD8+ RO+ Va7.2- INFg- TNFa+ d6,56,21,18.2425,17.540714285714287,16.4,14.9,0.7017857142857125,0.08268468315655621,0.6555394005975934,1.0
canonical_control vs ME_CFS_like_control,immune_res,immune_res__% CD8+ RO+ Va7.2- INFg- TNFa+ d6,56,21,18.2425,17.540714285714287,16.4,14.9,0.7017857142857125,0.08268468315655621,0.6555394005975934,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K03926,57,21,5.651832417039456,7.204340078806922,0.3791584609804275,0.0,-1.552507661767466,-0.06316847967009477,0.6559105096921996,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K16651,57,21,2.708556424650494,2.716768156432025,0.0,0.3655835858638645,-0.008211731781531117,-0.0006850541202080202,0.6559105096921996,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K03417,57,21,10.525808625630583,13.540346814054374,0.2957802175091975,0.859344149085321,-3.0145381884237903,-0.062263136601777506,0.6561417491498899,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01101,57,21,6.736477044172844,4.905994716508965,3.01717326590752,3.116475145836385,1.830482327663879,0.1256994162260491,0.6561732083316998,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01906,57,21,13.017578236551943,13.646936834811108,4.113971865098333,4.201047827326345,-0.6293585982591647,-0.040508587232301954,0.6562717900036474,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02839,57,21,45.07314581309432,47.36742576113373,36.340685002033574,23.25875925811065,-2.29427994803941,-0.0420492903732569,0.6563420918124069,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07686,57,21,7.575731089131827,11.38569564126524,0.0,0.59118101613903,-3.8099645521334136,-0.10213211240611682,0.6567085735438041,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K03638,57,21,7.517304595512721,10.853014546089707,1.774869666007035,1.53581772786002,-3.3357099505769856,-0.115420167826553,0.6572774709808749,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07773,57,21,11.781217692504327,18.827983581516754,1.4446029043229736,1.773543048417085,-7.046765889012427,-0.12697882177627448,0.6577110877014838,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K18554,57,21,7.781243409746261,8.191010124637609,0.0,0.0,-0.4097667148913482,-0.026464441395560315,0.6583379386768042,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07480,57,21,45.92575327671955,137.83628135748216,2.65410922686299,4.03161970456707,-91.91052808076262,-0.2581200094681056,0.658524049099901,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K22605,57,21,1.934590767723345,1.9033408665774232,0.7233132176944,0.353773077556106,0.031249901145921744,0.0092496164146935,0.658524049099901,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07781,57,21,6.007004655895144,8.865691128114303,0.0,0.0,-2.8586864722191594,-0.09758884227822748,0.658871154934247,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K17818,57,21,3.9328632159131334,5.4718570608522565,1.82043781549027,1.4820492509168601,-1.5389938449391232,-0.16047828032347822,0.6592870732620938,1.0
